Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount
Bob W Mitte,Berlin,"Mitte, Berlin",4,8.5,Very good,695
Hilton Berlin,Berlin,"Mitte, Berlin",5,7.7,Good,"2,379"
"Hotel Berlin, Berlin, a member of Radisson Individuals",Berlin,"Mitte, Berlin",4,7.9,Good,"10,400"
Precise Tale Berlin Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.7,Fabulous,"2,909"
DoubleTree by Hilton Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.8,Fabulous,309
Park Inn by Radisson Berlin Alexanderplatz,Berlin,"Mitte, Berlin",4,7.4,Good,"19,566"
Premier Inn Berlin Airport,Berlin,"Treptow-KÃ¶penick, Berlin",,,,"1,446"
MEININGER Hotel Berlin Hauptbahnhof,Berlin,"Mitte, Berlin",3,7.4,Good,"12,704"
Best Western Plus Plaza Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,7.8,Good,"4,193"
B&B Hotel Berlin City-West,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,7.1,Good,"2,100"
"InterContinental Berlin, an IHG Hotel",Berlin,"Mitte, Berlin",5,8.7,Fabulous,"2,082"
Schlosshotel Berlin by Patrick Hellmann,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.7,Fabulous,954
Catalonia Berlin Mitte,Berlin,"Mitte, Berlin",4,8.3,Very good,"3,701"
B&B Hotel Berlin Alexanderplatz,Berlin,"Mitte, Berlin",2,7.8,Good,"2,543"
Hotel Palace Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.8,Fabulous,"2,900"
Grand Hyatt Berlin,Berlin,"Mitte, Berlin",5,8.8,Fabulous,"2,276"
Steigenberger Hotel Am Kanzleramt,Berlin,"Mitte, Berlin",5,8.6,Fabulous,"6,307"
ibis Berlin Messe,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,7.4,Good,"2,341"
MEININGER Hotel Berlin Airport,Berlin,"Treptow-KÃ¶penick, Berlin",3,7.6,Good,"2,910"
Park Plaza Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,7.8,Good,"5,268"
Hotel Augusta Am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.1,Very good,"2,327"
B&B Hotel Berlin City-Ost,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,7.4,Good,"1,737"
ABACUS Tierpark Hotel,Berlin,"Lichtenberg, Berlin",4,7.5,Good,"1,843"
"Holiday Inn Berlin City-West, an IHG Hotel",Berlin,"Spandau, Berlin",4,7.2,Good,"2,810"
City Hotel Berlin East,Berlin,"Lichtenberg, Berlin",4,7.3,Good,"6,930"
B&B Hotel Berlin Potsdamer Platz,Berlin,"Mitte, Berlin",2,8,Very good,"1,006"
Hotel Adlon Kempinski Berlin,Berlin,"Mitte, Berlin",5,9.2,Superb,"3,561"
Hotel Residenz Begaswinkel,Berlin,"Mitte, Berlin",4,8.1,Very good,"1,070"
H+ Hotel 4Youth,Berlin,"Mitte, Berlin",3,7.8,Good,"4,012"
AMANO East Side,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.3,Very good,"5,229"
Motel One Berlin-Alexanderplatz,Berlin,"Mitte, Berlin",3,8.7,Fabulous,"9,811"
Riu Plaza Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4,8.3,Very good,"16,405"
Aeronaut Serviced Apartments NeukÃ¶lln-Kreuzberg powered by Pearl 1,Berlin,"NeukÃ¶lln, Berlin",4,8.1,Very good,"1,640"
Novotel Berlin Am Tiergarten,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.3,Very good,"3,915"
Hotel Gat Point Charlie,Berlin,"Mitte, Berlin",3,8.1,Very good,"5,720"
ibis budget Berlin Ost,Berlin,"Marzahn-Hellersdorf, Berlin",1,5.9,Review score,"2,071"
The Westin Grand Berlin,Berlin,"Mitte, Berlin",5,8.5,Very good,"5,128"
Hotel Columbia,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,6,Review score,"1,022"
ibis Berlin City Nord,Berlin,"Reinickendorf, Berlin",2.5,6.7,Review score,"1,586"
Yggotel Spurv,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.8,Good,268
Wyndham Garden Berlin Mitte,Berlin,"Mitte, Berlin",4,6.8,Review score,"3,400"
ARCOTEL Velvet Berlin,Berlin,"Mitte, Berlin",4,8,Very good,"2,710"
Art Apartments,Berlin,"Mitte, Berlin",3,8.4,Very good,744
Quentin XL Potsdamer Platz,Berlin,"Mitte, Berlin",4,7.3,Good,"2,883"
Mercure Hotel Berlin City,Berlin,"Mitte, Berlin",4,8.1,Very good,"1,931"
Park Plaza Wallstreet Berlin Mitte,Berlin,"Mitte, Berlin",4,8.2,Very good,"5,125"
IntercityHotel Berlin Ostbahnhof,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8,Very good,"4,538"
Hotel Tiergarten Berlin,Berlin,"Mitte, Berlin",3,7.4,Good,"2,077"
Novum Hotel City B Berlin Centrum,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,6.6,Review score,"2,505"
Eurostars Berlin,Berlin,"Mitte, Berlin",5,7.9,Good,"4,658"
NH Collection Berlin Mitte Friedrichstrasse,Berlin,"Mitte, Berlin",4,8.6,Fabulous,"6,964"
H2 Hotel Berlin-Alexanderplatz,Berlin,"Mitte, Berlin",3,8.2,Very good,"16,885"
Selina Berlin Mitte,Berlin,"Mitte, Berlin",3,8.1,Very good,950
Courtyard by Marriott Berlin City Center,Berlin,"Mitte, Berlin",4,8.7,Fabulous,853
Central-Hotel Tegel,Berlin,"Reinickendorf, Berlin",2,6.7,Review score,"1,183"
"The Ritz-Carlton, Berlin",Berlin,"Mitte, Berlin",5,9,Superb,"1,043"
"Provocateur Berlin, a Member of Design Hotels",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.7,Fabulous,"1,228"
Hotel B1,Berlin,"Marzahn-Hellersdorf, Berlin",2,6.5,Review score,"1,589"
Habyt-The Waterfront,Berlin,"Lichtenberg, Berlin",,,,228
B&B Hotel Berlin-Tiergarten,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,8,Very good,"1,400"
H10 Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.3,Very good,"5,048"
Nu Wave Hotel Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.1,Very good,"1,918"
Hotel Pankow,Berlin,"Pankow, Berlin",3,7.6,Good,"1,611"
Pestana Berlin Tiergarten,Berlin,"Mitte, Berlin",4,8.1,Very good,"4,580"
Hotel Orion Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.8,Review score,"1,149"
TITANIC Comfort Mitte,Berlin,"Mitte, Berlin",3,7.8,Good,"8,028"
acom-Hotel Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.9,Review score,"5,194"
Berlin Marriott Hotel,Berlin,"Mitte, Berlin",5,8.6,Fabulous,"2,151"
Hotel Arena Inn - Berlin Mitte,Berlin,"Mitte, Berlin",3,6.1,Review score,"2,286"
Leonardo Hotel Berlin Mitte,Berlin,"Mitte, Berlin",4,8.1,Very good,"12,209"
Best Western Hotel am Spittelmarkt,Berlin,"Mitte, Berlin",3,8,Very good,"4,212"
aletto Hotel Kudamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.2,Very good,"6,075"
Select Hotel Berlin Gendarmenmarkt,Berlin,"Mitte, Berlin",4,7.6,Good,"4,586"
Hotel Central Inn am Hauptbahnhof,Berlin,"Mitte, Berlin",2,6.3,Review score,"1,925"
Hotel Astrid am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",,,,773
Hotel City Green Berlin,Berlin,"Treptow-KÃ¶penick, Berlin",3,7.9,Good,"2,117"
Arte Luise Kunsthotel,Berlin,"Mitte, Berlin",3,7.5,Good,"1,451"
MEININGER Hotel Berlin East Side Gallery,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,7.8,Good,"5,576"
Hotel Zoo Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.7,Fabulous,"1,917"
Lulu Guldsmeden,Berlin,"Mitte, Berlin",4,8.2,Very good,"1,361"
Maritim proArte Hotel Berlin,Berlin,"Mitte, Berlin",,,,"9,734"
Atlas Berlin Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.1,Good,724
