Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
Bob W Mitte,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,American,N/A
Hilton Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,N/A
"Hotel Berlin, Berlin, a member of Radisson Individuals",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,N/A
Precise Tale Berlin Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,Full English/Irish
DoubleTree by Hilton Berlin Ku'damm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Continental
Park Inn by Radisson Berlin Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
Premier Inn Berlin Airport,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental
MEININGER Hotel Berlin Hauptbahnhof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Best Western Plus Plaza Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Full English/Irish
B&B Hotel Berlin City-West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental
"InterContinental Berlin, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Vegan
Schlosshotel Berlin by Patrick Hellmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Continental
Catalonia Berlin Mitte,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,N/A
B&B Hotel Berlin Alexanderplatz,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,N/A,N/A
Hotel Palace Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,N/A
Grand Hyatt Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,N/A
Steigenberger Hotel Am Kanzleramt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Full English/Irish
ibis Berlin Messe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
MEININGER Hotel Berlin Airport,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Park Plaza Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Hotel Augusta Am Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,N/A
B&B Hotel Berlin City-Ost,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
ABACUS Tierpark Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Continental
"Holiday Inn Berlin City-West, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Vegan
City Hotel Berlin East,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
B&B Hotel Berlin Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
Hotel Adlon Kempinski Berlin,No,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,American
Hotel Residenz Begaswinkel,No,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,N/A,N/A
H+ Hotel 4Youth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
AMANO East Side,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,Full English/Irish
Motel One Berlin-Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegetarian,Continental
Riu Plaza Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Aeronaut Serviced Apartments Neukölln-Kreuzberg powered by Pearl 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Continental
Novotel Berlin Am Tiergarten,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,N/A
Hotel Gat Point Charlie,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Full English/Irish
ibis budget Berlin Ost,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
The Westin Grand Berlin,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Vegan
Hotel Columbia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Continental
ibis Berlin City Nord,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Ameican,N/A
Yggotel Spurv,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
Wyndham Garden Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,N/A
ARCOTEL Velvet Berlin,Yes,Yes,Yes,No,No,Yes,Yes,N/A,N/A,N/A
Art Apartments,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Full English/Irish
Quentin XL Potsdamer Platz,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Continental
Mercure Hotel Berlin City,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,N/A
Park Plaza Wallstreet Berlin Mitte,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegan,Continental
IntercityHotel Berlin Ostbahnhof,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,N/A
Hotel Tiergarten Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish
Novum Hotel City B Berlin Centrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
Eurostars Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Vegan
NH Collection Berlin Mitte Friedrichstrasse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Continental
H2 Hotel Berlin-Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Vegetarian,N/A
Selina Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,N/A
Courtyard by Marriott Berlin City Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Central-Hotel Tegel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
"The Ritz-Carlton, Berlin",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
"Provocateur Berlin, a Member of Design Hotels",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,Continental
Hotel B1,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,N/A
Habyt-The Waterfront,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,N/A,Continental
B&B Hotel Berlin-Tiergarten,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,N/A
H10 Berlin Ku'damm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish
Nu Wave Hotel Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Continental
Hotel Pankow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Vegan
Pestana Berlin Tiergarten,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental
Hotel Orion Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
TITANIC Comfort Mitte,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,N/A
acom-Hotel Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegetarian,American
Berlin Marriott Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,N/A
Hotel Arena Inn - Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Full English/Irish
Leonardo Hotel Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
Best Western Hotel am Spittelmarkt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,N/A
aletto Hotel Kudamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Select Hotel Berlin Gendarmenmarkt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Hotel Central Inn am Hauptbahnhof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish
Hotel Astrid am Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,Continental
Hotel City Green Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Continental,Vegan
Arte Luise Kunsthotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Asian,Continental
MEININGER Hotel Berlin East Side Gallery,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Full English/Irish,N/A
Hotel Zoo Berlin,No,Yes,Yes,Yes,No,Yes,Yes,International,Continental,N/A
Lulu Guldsmeden,No,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,N/A
Maritim proArte Hotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Continental,N/A
Atlas Berlin Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Vegan,Full English/Irish
NH Collection Berlin Mitte am Checkpoint Charlie,Yes,Yes,Yes,No,No,Yes,Yes,N/A,N/A,N/A
M-Pire Hotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Asian,N/A
TITANIC Comfort Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,N/A
Good Morning + Berlin City East,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,N/A,Full English/Irish
Leonardo Hotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,Continental
Scandic Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Vegetarian,N/A
Henri Hotel Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Ameican,Continental
AC Hotel by Marriott Berlin Humboldthain Park,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,N/A
Happy Hotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Full English/Irish
TWO Hotel Berlin by Axel - Adults Only,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Continental
MEININGER Hotel Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Vegan
Gold Palais Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,N/A
NH Berlin Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Hotel Rossi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Hotel Himmel und Havel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
Mövenpick Hotel Berlin Am Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Full English/Irish
Enjoy Hotel am Studio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,N/A,Continental
"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
Queens Park Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,N/A,Continental
Novum Hotel Kronprinz Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Vegetarian,N/A
Alper Hotel am Potsdamer Platz,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Full English/Irish
Upper Room Hotel Kurfürstendamm,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Continental
Michelberger Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,Vegan
25hours Hotel Bikini Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Continental
H4 Hotel Berlin Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
Hotel Christophorus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,American
HighPark by Palmira,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
Quentin Design Hotel Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Ameican,N/A
IntercityHotel Berlin Hauptbahnhof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish
K&S Apartments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,Continental
Leonardo Hotel Berlin KU'DAMM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
martas Hotel Allegra Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Leonardo Royal Hotel Berlin Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
PLAZA INN Berlin Charlottenburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish
Citadines Kurfürstendamm Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegan,Continental
Grimm's Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Hotel AI Königshof,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Continental
Meliá Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
MEININGER Hotel Berlin Tiergarten,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
TITANIC Gendarmenmarkt Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
IBB Hotel Berlin-Airport,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Vegetarian,N/A
Hotel Transit Loft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Full English/Irish
NH Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Continental
ibis Hotel Berlin Spandau,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
