HotelName,RoomType,DoubleBed,SingleBed,Price
"Hotel Berlin, Berlin, a member of Radisson Individuals",Cosy Small Room,No,Yes,11223
Premier Inn Berlin Airport,Standard Double Room,Yes,No,7557
MEININGER Hotel Berlin Hauptbahnhof,Twin Room,Yes,No,12302
Precise Tale Berlin Potsdamer Platz,Excelsior Suite,Yes,No,23426
Hotel Augusta Am Kurfürstendamm,Double or Twin Room,Yes,No,14850
Ibis Berlin Hauptbahnhof,Double Room,Yes,No,13971
ibis budget Berlin Kurfürstendamm,Standard Double Room,Yes,No,10211
Gold Palais Hotel,Small Double Room,Yes,No,13022
Grand Hyatt Berlin,Twin Room,Yes,No,20562
ibis Berlin Messe,Double Room,Yes,No,14850
Novotel Berlin Am Tiergarten,Standard Double Room,Yes,No,14323
MEININGER Hotel Berlin Airport,Twin Room,Yes,No,12038
Habyt-The Waterfront,Deluxe Double Studio,Yes,No,7276
ibis Berlin Kurfuerstendamm,Double Room,Yes,No,13747
DoubleTree by Hilton Berlin Ku'damm,King Guest Room,Yes,No,14961
City Hotel Berlin East,Standard Room,Yes,No,8198
Park Inn by Radisson Berlin Alexanderplatz,Double Room with City View,Yes,No,15465
Schlosshotel Berlin by Patrick Hellmann,Deluxe Double Room,Yes,No,25043
Aeronaut Serviced Apartments Neukölln-Kreuzberg powered by Pearl 1,Deluxe Apartment,No,Yes,16234
B&B Hotel Berlin-Tiergarten,Twin Room,Yes,No,12038
ibis budget Berlin Ost,Standard Room,Yes,No,9402
Good Morning + Berlin City East,Standard Twin Room,Yes,No,7030
ABACUS Tierpark Hotel,Double or Twin Room,Yes,No,12478
B&B Hotel Berlin Potsdamer Platz,Twin Room,Yes,No,11683
Mercure Hotel Berlin City,Standard Double Room,Yes,No,13532
Wyndham Garden Berlin Mitte,Standard Double Room,Yes,No,11764
LOGINN Hotel Berlin Airport,Superior Double Room,Yes,No,8907
Novotel Berlin Mitte,Superior Double Room,Yes,No,13365
ibis Hotel Berlin Mitte,Double Room,Yes,No,11467
IntercityHotel Berlin Ostbahnhof,Superior Double Room,Yes,No,14015
Potsdamer Inn,Triple Room,No,Yes,6590
Mercure Berlin Wittenbergplatz,Standard Queen Room,Yes,No,17750
ibis Berlin City Nord,Double Room,Yes,No,9026
acom-Hotel Berlin Kurfürstendamm,Standard Double or Twin Room,Yes,No,12854
Hotel Palace Berlin,Business Double Room,Yes,No,20236
Hotel Residenz Begaswinkel,Double Room,Yes,No,13093
Hotel Columbia,Double Room,Yes,No,9578
Hotel Pankow,Double or Twin Room,Yes,No,7625
MEININGER Hotel Berlin East Side Gallery,Twin Room,Yes,No,14191
Central-Hotel Tegel,Budget Double Room,Yes,No,8875
Hilton Berlin,Standard Twin Room,Yes,No,22990
B&B Hotel Berlin City-West,Twin Room,Yes,No,10632
Motel One Berlin Ku'Damm,Room with King Size bed,Yes,No,13971
HOTEL BERLIN KÖPENICK by Leonardo Hotels,Comfort Room ,No,Yes,6760
Ootel.com,Double Room with Private Bathroom,Yes,No,5664
Steigenberger Hotel Am Kanzleramt,Superior Double Room,Yes,No,19837
Ocak Hotel,Comfort Double or Twin Room,Yes,No,13268
Hotel M68,Triple Room,No,Yes,10852
PLAZA INN Berlin Charlottenburg,Standard Double Room ,Yes,No,9797
Abba Berlin Hotel,Double or Twin Room,Yes,No,14630
MEININGER Hotel Berlin Tiergarten,Twin Room,Yes,No,12697
Riu Plaza Berlin,Deluxe Double Room,Yes,No,13971
BIG MAMA Berlin,Standard Double Room,Yes,No,16180
greet Berlin Alexanderplatz,Superior Twin Room,Yes,No,17311
Leonardo Royal Hotel Berlin Alexanderplatz,Comfort Double or Twin Room,Yes,No,9885
Best Western Plus Plaza Berlin Kurfürstendamm,Standard Double or Twin Room,Yes,No,14762
acom Hotel Berlin-City South,Standard Double Room,Yes,No,11641
Best Western Hotel am Spittelmarkt,Comfort Room with two single beds,No,Yes,14499
martas Hotel Allegra Berlin,Double Double Room,Yes,No,12901
"InterContinental Berlin, an IHG Hotel",Classic Room,No,Yes,18730
H2 Hotel Berlin-Alexanderplatz,Double or Twin Room,Yes,No,13620
Leonardo Hotel Berlin Mitte,Superior Double Room,Yes,No,14393
ibis Hotel Berlin Spandau,Standard Room,Yes,No,11044
MEININGER Hotel Berlin Mitte,Twin Room,Yes,No,13884
"Holiday Inn Berlin City-West, an IHG Hotel",Business Queen Room - Non-Smoking,No,Yes,16017
IBB Hotel Berlin-Airport,Double Room,Yes,No,7529
Yggotel Spurv,Standard Room,Yes,No,10475
Mercure Hotel & Residenz Berlin Checkpoint Charlie,Large Double Room,Yes,No,15026
Die Fabrik - baxpax Hotel,Triple Room with Shared Bathroom,No,Yes,6726
Hotel City Green Berlin,Doppelzimmer comfort,No,Yes,8611
Henri Hotel Berlin Kurfürstendamm,Chambre Double Room,Yes,No,18189
ibis Styles Berlin Treptow,Standard Double Room,Yes,No,11775
Müggelseeperle,Double Room,Yes,No,9569
Hotel Arena Inn - Berlin Mitte,Triple Room,No,Yes,11032
Park Plaza Berlin,Superior Twin Room,Yes,No,13971
Quentin Design Hotel Berlin,Double Room - Lower Ground Floor,Yes,No,10202
Nu Wave Hotel Berlin,Classic Triple Room,No,Yes,10083
Hotel Ambiente Berlin City,Double Room,Yes,No,10769
Hotel Central Inn am Hauptbahnhof,Economy Double  Room with Shared Toilet,Yes,No,8787
Novotel Suites Berlin City Potsdamer Platz,Standard Suite with Sofa,Yes,No,16871
Citadines Kurfürstendamm Berlin,Studio,No,Yes,13971
Waldorf Astoria Berlin,Deluxe King Room,Yes,No,29604
BlnCty Hotel,Family Room,No,Yes,13049
Motel Plus Berlin,Family Room (2 Adults + 1 Child),No,Yes,13093
Hotel Albertin,Double Room,Yes,No,9666
Hotel Adlon Kempinski Berlin,Executive Double Room,Yes,No,34709
Quentin XL Potsdamer Platz,Classic Double Room,Yes,No,11783
Boutique Hotel Château Royal,Superior Double Room,Yes,No,22846
Hotel Gat Point Charlie,Standard Double Room,Yes,No,11247
Eurostars Berlin,Superior Double Room,Yes,No,19244
Atlas Berlin Hotel,Double Room,Yes,No,11353
Leonardo Hotel Berlin,Comfort Double Room,Yes,No,10834
Catalonia Berlin Mitte,Superior Twin Room,Yes,No,15860
Businesshotel Berlin,Standard Double Room,Yes,No,8470
25hours Hotel Bikini Berlin,Medium Jungle,No,Yes,22855
Hotel Orion Berlin,Double Room,Yes,No,9666
Essential by Dorint Berlin-Adlershof,Superior Double or Twin Room,Yes,No,11783
CLUB Lodges Berlin Mitte,Quadruple Cottage with Shared Bathroom,No,Yes,5633
martas Hotel Albrechtshof Berlin,Double Room,Yes,No,16238
Upper Room Hotel Kurfürstendamm,Twin Room,Yes,No,13093
Solitaire Hotel,Standard Double Room,Yes,No,11335
M-Pire Hotel Berlin,Double Room,Yes,No,15377
Hotel MANI by AMANO,Double Room,Yes,No,12825
Art Hotel Charlottenburger Hof Berlin,Economy Double Room,Yes,No,12000
Hotel B1,Double Room Annex,Yes,No,7118
TITANIC Comfort Kurfürstendamm,Classic Double or Twin Room,Yes,No,13068
"The Ritz-Carlton, Berlin",Deluxe King Room,Yes,No,32073
Hotel Christophorus,Comfort Double Room,Yes,No,13005
Comfort Hotel Lichtenberg,Standard 2 Single beds,Yes,No,8426
Vienna House by Wyndham Andel's Berlin,Superior Twin Room,Yes,No,11783
NH Collection Berlin Mitte Friedrichstrasse,Superior Double or Twin Room,Yes,No,16344
Victor's Residenz-Hotel Berlin Tegel,Comfort Double Room,Yes,No,17926
Seehotel Grunewald,Double Room with Forest View,Yes,No,9929
Hüttenpalast,Caravan or Cabin,No,Yes,8765
Lulu Guldsmeden,Comfy Sky,No,Yes,16673
Maritim proArte Hotel Berlin,Classic Double Room,Yes,No,16525
Bornholmer Hof im Prenzlauer Berg,Double Room,Yes,No,9842
Hotel Lindenufer,Double Room,Yes,No,12565
The Westin Grand Berlin,Deluxe Double Room with City View,Yes,No,27152
Mercure Hotel Berlin City West,Standard Twin Room,Yes,No,12653
Gästehaus Lazarus,Standard Double Room,Yes,No,11511
Hotel Eckstein,Double Room,Yes,No,13093
H10 Berlin Ku'damm,Deluxe Double or Twin Room,Yes,No,14517
H4 Hotel Berlin Alexanderplatz,Comfort Double or Twin Room,Yes,No,13049
"The Hoxton, Charlottenburg",Cosy,No,Yes,14977
Hotel BELLEVUE am Kurfürstendamm,Double or Twin Room,Yes,No,9578
Hotel Europa City,Double or Twin Room,Yes,No,8699
Hotel Castell am Kurfürstendamm,Double or Twin Room,Yes,No,11423
Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Comfort Twin Room,Yes,No,10993
H+ Hotel 4Youth,Comfort Room,No,Yes,13444
AMANO East Side,Standard Double Room,Yes,No,12640
Novum Hotel Kronprinz Berlin,Queen Room,No,Yes,15956
Pestana Berlin Tiergarten,Comfort Room ,No,Yes,15544
Quentin Boutique Hotel,Classic Double Room,Yes,No,12217
"Sir Savigny Hotel, part of Sircle Collection",Double or Twin Room,Yes,No,18897
Scandic Berlin Kurfürstendamm,Standard Double Room,Yes,No,23681
Hotel AI Königshof,Double Room,Yes,No,7513
"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Queen Room,No,Yes,17662
"Provocateur Berlin, a Member of Design Hotels",Intime,No,Yes,13365
"Regent Berlin, an IHG Hotel",Classic Room,No,Yes,32745
Bob W Mitte,Standard Double Room,Yes,No,16581
Hotel Herbst Berlin,Standard Double Room,Yes,No,10720
LINDEMANN'S,Quiet & Big,No,Yes,16608
Grimm's Potsdamer Platz,Double Room,Yes,No,13971
HOLI-Berlin Hotel,Double or Twin Room with Shared Bathroom,Yes,No,6854
ADELANTE Boutique Hotel,Adelante Grande,No,Yes,17574
Hotel Atrium Charlottenburg,Double or Twin Room,Yes,No,9226
Hotel Himmel und Havel,Comfort Triple Room with Shower,No,Yes,12653
Art Nouveau Hotel am Kurfürstendamm,Comfort Double Room,Yes,No,16608
ARCOTEL Velvet Berlin,Guest Room,No,Yes,15782
the niu Dwarf,Superior Double Room,Yes,No,13449
Select Hotel Berlin Gendarmenmarkt,Standard Double Room,Yes,No,16300
Flattering - Berlin,Two-Bedroom Apartment,No,Yes,12741
Anna 1908,Mini,No,Yes,16256
Novum Hotel City B Berlin Centrum,Standard Double Room,Yes,No,11892
TWO Hotel Berlin by Axel - Adults Only,City Double Room,Yes,No,11457
Boutique Hotel Kerlin,Comfort Room,No,Yes,11950
Selina Berlin Mitte,Twin Room,Yes,No,14007
Safestay Berlin Kurfurstendamm,Standard Twin Room,Yes,No,14232
aletto Hotel Kudamm,Double Room,Yes,No,11975
Hotel Alter Markt,Double Room,Yes,No,10281
MEININGER Hotel Berlin Alexanderplatz,Twin Room,Yes,No,12478
TITANIC Comfort Mitte,Standard Double Room,Yes,No,14947
Hotel Messe am Funkturm,Triple Room,No,Yes,8097
Good Morning Berlin City West,Standard Double Room,Yes,No,9910
Hotel AMANO Rooms & Apartments,Double Room,Yes,No,15834
Hotel Adam,Triple Room,No,Yes,9666
Hotel Amadeus ROYAL Berlin,Standard Business Double Room,Yes,No,7381
Happy Hotel Berlin,Double Room with Private Bathroom,Yes,No,9666
B&B Hotel Berlin-Charlottenburg,Twin Room,Yes,No,13259
NH Berlin Potsdamer Platz,Standard Double or Twin Room,Yes,No,13444
IntercityHotel Berlin Hauptbahnhof,Business Plus Double Room,Yes,No,19093
Old Town Hotel,Comfort Double or Twin Room,Yes,No,12038
Arte Luise Kunsthotel,Comfort Double Room,Yes,No,14863
Hotel-Pension Rheingold am Kurfürstendamm,Quadruple Room,No,Yes,10369
Select Hotel Berlin Spiegelturm,Comfort Room,No,Yes,11494
Hotel Nova,Standard Double or Twin Room,Yes,No,8699
Mövenpick Hotel Berlin Am Potsdamer Platz,Superior King Room,Yes,No,18901
The Circus Hotel,Small (max 2 pax),No,Yes,13869
AMERON Hotel Abion Spreebogen Berlin,Standard Double Room,Yes,No,29085
Michelberger Hotel,Loft Room,No,Yes,18453
ADAPT APARTMENTS BERLIN - Adlershof,Studio Apartment,No,Yes,14235
Sheraton Berlin Grand Hotel Esplanade,Classic Double Room,Yes,No,25395
Mercure Hotel MOA Berlin,Superior Double Room,Yes,No,14850
mk hotel berlin,Standard Double Room,Yes,No,12369
Hotel Klassik Berlin,Comfort Doppelzimmer,No,Yes,12653
Queens Park Hotel,Double Room,Yes,No,12302
CALMA Berlin Mitte,Calma S,No,Yes,14411
Flottwell Berlin Hotel & Residenz am Park,Double Room with Kitchenette,Yes,No,12302
Leonardo Hotel Berlin KU'DAMM,Comfort Double Room,Yes,No,16370
Hotel Nest,Triple Room,No,Yes,8875
Hotel Pension Xantener Eck,Double Room,Yes,No,8264
Hampton by Hilton Berlin City West,Standard Double Room with Comfort Sofa Bed and Courtyard View,Yes,No,19571
Dorint Kurfürstendamm Berlin,Superior Room with Kingsize Bed,Yes,No,19254
SensCity Hotel Berlin Spandau,Standard Double Room SensBase,Yes,No,10993
Hotel-Maison Am Olivaer Platz,Standard Double or Twin Room,Yes,No,10105
ARCOTEL John F Berlin,SUPERIOR ROOM,No,Yes,15843
Novum Hotel Aldea Berlin Centrum,Standard Double or Twin Room,Yes,No,15033
Hotel ROMY by AMANO,Small Double Room,Yes,No,15685
NH Collection Berlin Mitte am Checkpoint Charlie,Premium Double or Twin Room,Yes,No,19859
Hotel Villa Konstanz,Souterrain Double Room ,Yes,No,10457
"Max Brown Hotel Ku'damm, part of Sircle Collection",Double Bed Room,Yes,No,13336
INNSiDE by Meliá Berlin Mitte,The Innside Premium Room,No,Yes,17839
Hotel Bett und Buch,Economy Twin Room,Yes,No,9042
Nena Apartments - Kreuzberg 61,Studio,No,Yes,11248
City Hotel am Kurfürstendamm,Standard Double Room,Yes,No,10932
Hotel Eden am Zoo,Standard Double or Twin Room,Yes,No,9771
Botschaft,Double or Twin Room,Yes,No,10105
TITANIC Chaussee Berlin,Junior Suite,Yes,No,23831
"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",Standard King Room with Working Desk,Yes,No,16862
DAS SCHMÖCKWITZ,Economy Double Room,Yes,No,9139
Telegraphenamt,Double Room,Yes,No,28602
TITANIC Gendarmenmarkt Berlin,Classic Double Room,Yes,No,19261
Hotel Chateau Kurfürstendamm,Standard Double Room with Extra Bed,Yes,No,14430
Rocco Forte Hotel De Rome,Classic Double or Twin Room,Yes,No,29182
NH Berlin Kurfürstendamm,Classic Standard Double or Twin Room with Extra Bed,Yes,No,18892
New Berlin,Design Double Room,Yes,No,12438
Moxy Berlin Ostbahnhof,"Moxy Sleeper, Guest room, 1 Queen",No,Yes,15729
COSMO Hotel Berlin Mitte,Standard Double Room,Yes,No,21440
City Pension Berlin,Double Room with Private Shower and Shared Toilet,Yes,No,9182
H24 Berlin Lichtenberg,Standard Double Room,Yes,No,16660
Courtyard by Marriott Berlin City Center,Studio King with Sofa Bed,Yes,No,26713
AMANO HOME Apartments,Studio Apartment M,No,Yes,15685
Meliá Berlin,Family Room,No,Yes,21353
Nena Apartments Moritzplatz,Studio,No,Yes,13620
about:berlin Hotel,Small Double Room,Yes,No,15421
numa l Sketch Rooms & Apartments,Studio,No,Yes,15992
Hyperion Hotel Berlin,Junior Suite with Executive Lounge Access,Yes,No,22583
Hotel Abendstern,Double or Twin Room,Yes,No,9490
Hotel am Schloß Köpenick by Golden Tulip,Standard King Room,Yes,No,9490
Hotel Bohemia,Double Room,Yes,No,19332
Das Literaturhotel Berlin,Deluxe Double Room,Yes,No,16695
NH Berlin Alexanderplatz,Standard Double or Twin Room,Yes,No,12653
Hotel Benn,Double Room,Yes,No,14850
ArtHotel Connection,Double Room,Yes,No,15026
Hotel Kubrat an der Spree,Twin Room,Yes,No,9842
Hotel Dori´s 108,Twin Room with Shower,Yes,No,7829
"Hotel am Steinplatz, Autograph Collection","Deluxe Room, 1 King",Yes,No,20210
Hotel Villa Kastania,Family Suite with Balcony,Yes,No,22758
Select Hotel Style Berlin,Double Room - Style,Yes,No,10414
Hotel Am Stuttgarter Eck,Double Room with Shower and Shared Toilet,Yes,No,9490
limehome Berlin Müllerstraße - Digital Access,Suite - barrier-free,Yes,No,14499
Steps-Hotel,Twin Room with Shared Bathroom,Yes,No,8462
Adina Apartment Hotel Berlin Hackescher Markt,Double Standard,Yes,No,15131
Best Western Hotel Kantstrasse Berlin,Standard Double Room,Yes,No,16235
Brauhaus in Spandau,Large Twin Room,Yes,No,11863
Hotel Grenzfall,Double Room with Garden View and Balcony,Yes,No,18101
Apart Hotel Ferdinand Berlin,Double Room,Yes,No,8014
Motel Home Berlin,Deluxe Room,No,Yes,10369
Neu-Helgoland,Double Room,Yes,No,9051
Hotel Ambert,Double Room with Shared Bathroom,Yes,No,6327
Hotel Ambassador-Berlin Grünau,Double Room,Yes,No,9675
Hotel Petit Wannsee,Double Room with Private Bathroom,Yes,No,10454
Adina Apartment Hotel Berlin Checkpoint Charlie,Studio,No,Yes,16525
Hotel Grand Inn,Double Room with Private Bathroom,Yes,No,9411
Victor's Residenz-Hotel Berlin,Comfort  Room,No,Yes,15202
Select Hotel Berlin The Wall,Comfort Double Room,Yes,No,15485
Hotel Amadeus Central,Double Room with Shared Bathroom,Yes,No,7469
Hollywood Media Hotel am Kurfürstendamm,Deluxe Double or Twin Room,Yes,No,15370
