Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3,RoomType,DoubleBed,SingleBed,Price
Bob W Mitte,Berlin,"Mitte, Berlin",4.0,8.5,Very good,695,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,American,,Standard Double Room,Yes,No,16581.0
Hilton Berlin,Berlin,"Mitte, Berlin",5.0,7.7,Good,"2,379",Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,,Standard Twin Room,Yes,No,22990.0
"Hotel Berlin, Berlin, a member of Radisson Individuals",Berlin,"Mitte, Berlin",4.0,7.9,Good,"10,400",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,,Cosy Small Room,No,Yes,11223.0
Precise Tale Berlin Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4.0,8.7,Fabulous,"2,909",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,Full English/Irish,Excelsior Suite,Yes,No,23426.0
DoubleTree by Hilton Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5.0,8.8,Fabulous,309,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Continental,King Guest Room,Yes,No,14961.0
Park Inn by Radisson Berlin Alexanderplatz,Berlin,"Mitte, Berlin",4.0,7.4,Good,"19,566",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,,Double Room with City View,Yes,No,15465.0
Premier Inn Berlin Airport,Berlin,"Treptow-KÃ¶penick, Berlin",,,,"1,446",Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental,Standard Double Room,Yes,No,7557.0
MEININGER Hotel Berlin Hauptbahnhof,Berlin,"Mitte, Berlin",3.0,7.4,Good,"12,704",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Twin Room,Yes,No,12302.0
Best Western Plus Plaza Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,7.8,Good,"4,193",,,,,,,,,,,,,,
B&B Hotel Berlin City-West,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2.0,7.1,Good,"2,100",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental,Twin Room,Yes,No,10632.0
"InterContinental Berlin, an IHG Hotel",Berlin,"Mitte, Berlin",5.0,8.7,Fabulous,"2,082",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Vegan,Classic Room,No,Yes,18730.0
Schlosshotel Berlin by Patrick Hellmann,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5.0,8.7,Fabulous,954,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Continental,Deluxe Double Room,Yes,No,25043.0
Catalonia Berlin Mitte,Berlin,"Mitte, Berlin",4.0,8.3,Very good,"3,701",Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,,Superior Twin Room,Yes,No,15860.0
B&B Hotel Berlin Alexanderplatz,Berlin,"Mitte, Berlin",2.0,7.8,Good,"2,543",Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,,,,,,
Hotel Palace Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5.0,8.8,Fabulous,"2,900",Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,,Business Double Room,Yes,No,20236.0
Grand Hyatt Berlin,Berlin,"Mitte, Berlin",5.0,8.8,Fabulous,"2,276",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,,Twin Room,Yes,No,20562.0
Steigenberger Hotel Am Kanzleramt,Berlin,"Mitte, Berlin",5.0,8.6,Fabulous,"6,307",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Full English/Irish,Superior Double Room,Yes,No,19837.0
ibis Berlin Messe,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2.0,7.4,Good,"2,341",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental,Double Room,Yes,No,14850.0
MEININGER Hotel Berlin Airport,Berlin,"Treptow-KÃ¶penick, Berlin",3.0,7.6,Good,"2,910",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Twin Room,Yes,No,12038.0
